lat,lon,name,type
59.93502,10.75857,0,p0
59.93475794822837,10.759000513850081,1,b0
59.93474,10.75903,2,b1
59.93472139899106,10.759057901546967,3,b2
59.93469860100894,10.75909209852016,4,b0
59.93468,10.75912,5,b1
59.934670642433645,10.759163668669833,6,b2
59.934659357566346,10.759216331383888,7,b0
59.93465,10.75926,8,b1
59.9346252860808,10.759242150968504,9,b2
59.934494713919186,10.759147848851782,10,b0
59.93447,10.759129999999999,11,b1
59.93444494368956,10.759116508093541,12,b2
59.93436505631043,10.759073491812465,13,b0
59.93434,10.759060000000002,14,b1
59.934316217647016,10.759068918395293,15,b2
59.93428378235298,10.759081081630562,16,b0
59.93426,10.75909,17,b1
59.934248575542526,10.75913112809401,18,b2
59.934221424457476,10.759228872000218,19,b0
59.93421,10.75927,20,b1
59.93420377088387,10.759316718390206,21,b2
59.93419622911612,10.7593732816483,22,b0
59.934189999999994,10.759419999999995,23,b1
59.934179022295616,10.759461715325001,24,b2
59.93415097770437,10.759568284771749,25,b0
59.93414,10.75961,26,b1
59.934115782806295,10.759616054306397,27,b2
59.93408421719371,10.759623945709542,28,b0
59.93406,10.759629999999998,29,b1
59.93403558125588,10.759609651023315,30,b2
59.93402441874412,10.759600348930185,31,b0
59.934,10.759580000000001,32,b1
59.93397613025751,10.759556130237684,33,b2
59.93397386974249,10.759553869722657,34,b0
59.93395,10.759530000000002,35,b1
59.933927295987,10.75950080907667,36,b2
59.93390270401301,10.759469190817814,37,b0
59.93388,10.759439999981256,38,b1
59.93385521750499,10.759422842666764,39,b2
59.93351478249501,10.75918715690699,40,b0
59.93348999999999,10.759169999999996,41,b1
59.933464881052615,10.759157820991925,42,b2
59.93318511894738,10.759022178759079,43,b0
59.93316,10.759010000000002,44,b1
59.9331350140823,10.75899535295485,45,b2
59.932894985917706,10.7588546467894,46,b0
59.93287,10.75884,47,b1
59.932845652489355,10.758819130674613,48,b2
59.93282434751065,10.758800869264295,49,b0
59.9328,10.75878,50,b1
59.93281441235608,10.758743414913175,51,b2
59.93291558764392,10.758486585336344,52,b0
59.93293,10.75845,53,b1
59.93294494803911,10.758414354796779,54,b2
59.93304505196088,10.75817564544486,55,b0
59.93305999999999,10.758139999999997,56,b1
59.93307319553926,10.758101428556994,57,b2
59.93317680446074,10.757798571709616,58,b0
59.93319,10.75776,59,b1
59.93320142431445,10.757718872515099,60,b2
59.93322857568556,10.757621127579112,61,b0
59.933240000000005,10.757579999999999,62,b1
59.93324963403563,10.757536646878897,63,b2
59.933270365964376,10.757443353199527,64,b0
59.93328,10.757400000000002,65,b1
59.93329056086038,10.757357756595484,66,b2
59.93330943913963,10.757282243478496,67,b0
59.93332,10.757240000000001,68,b1
59.93332804583861,10.757194943360277,69,b2
59.9333619541614,10.7570050567526,70,b0
59.93337,10.756959999999998,71,b1
59.9333779653123,10.756914863259972,72,b2
59.9333920346877,10.75683513679943,73,b0
59.93339999999999,10.756789999999999,74,b1
59.933407866766224,10.756744766137578,75,b2
59.93343213323377,10.756605233949237,76,b0
59.93344,10.756560000000002,77,b1
59.93344723683203,10.756514166761624,78,b2
59.93346276316797,10.756415833300752,79,b0
59.93347,10.75637,80,b1
59.93347622906492,10.756323282032271,81,b2
59.93348377093506,10.756266718006236,82,b0
59.93348999999999,10.756219999999995,83,b1
59.93349514297845,10.756172427556027,84,b2
59.933564857021544,10.755527572657437,85,b0
59.93357,10.755479999999999,86,b1
59.93357419454055,10.755431762806653,87,b2
59.933585805459465,10.755298237239103,88,b0
59.93359,10.755250000000002,89,b1
59.933595274928585,10.755202525692189,90,b2
59.93362472507142,10.754937474406617,91,b0
59.93363,10.75489,92,b1
59.933634028820414,10.75484165420716,93,b2
59.93366597117958,10.754458345897229,94,b0
59.93366999999999,10.754409999999995,95,b1
59.93367325483534,10.754361177479797,96,b2
59.93367674516466,10.754308822539986,97,b0
59.93368,10.75426,98,b1
59.93368662587323,10.754213618933752,99,b2
59.933713374126775,10.754026381158868,100,b0
59.93372,10.75398,101,b1
59.93372485898805,10.753932220029807,102,b2
59.93377514101195,10.753437780128182,103,b0
59.93378,10.75339,104,b1
59.9337839764443,10.753341620009001,105,b2
59.9338360235557,10.75270838015371,106,b0
59.93384,10.752660000000002,107,b1
59.93384642166848,10.752613442950295,108,b2
59.93387357833152,10.752416557143263,109,b0
59.93388,10.752369999999999,110,b1
59.93388478343436,10.75232216567823,111,b2
59.93389521656564,10.752217834365416,112,b0
59.9339,10.75217,113,b1
59.93390884617141,10.752125769170831,114,b2
59.93392115382858,10.75206423088497,115,b0
59.93393,10.752019999999998,116,b1
59.93393642169914,10.751973442728008,117,b2
59.93396357830086,10.751776557365554,118,b0
59.93397,10.75173,119,b1
59.93396804686763,10.751679218546029,120,b2
59.93396195313237,10.751520781429281,121,b0
59.93396,10.75147,122,b1
59.9339509327426,10.751420130037301,123,b2
59.9339290672574,10.751299869868767,124,b0
59.93392,10.751249999999999,125,b1
59.93389589757389,10.751227504311942,126,b2
59.933794102426106,10.751132495507344,127,b0
59.93377,10.75111,128,b1
59.9337516368316,10.751069600990041,129,b2
59.933738363168395,10.751040398930993,130,b0
59.93372,10.751,131,b1
59.93370628231942,10.750953359762748,132,b2
59.93363371768058,10.750706639990716,133,b0
59.93362,10.75066,134,b1
59.93360365632603,10.750616416730432,135,b2
59.93351634367397,10.750383582991606,136,b0
59.9335,10.750339999999998,137,b1
59.933479588260504,10.750303886799436,138,b2
59.933390411739495,10.750146112954598,139,b0
59.93337,10.75011,140,b1
59.933357080227765,10.750062627477064,141,b2
59.933352919772226,10.750047372473425,142,b0
59.93334,10.75,143,b1
59.933332250334956,10.749949627158452,144,b2
59.93332774966505,10.749920372804029,145,b0
59.93332,10.74987,146,b1
59.933316817038786,10.749819072610084,147,b2
59.93331318296121,10.749760927368907,148,b0
59.93331,10.749710000000002,149,b1
59.93331,10.749659701369854,150,b2
59.93331,10.749640298630146,151,b0
59.93331,10.74959,152,b1
59.93331,10.749539701369853,153,b2
59.93331,10.749510298630147,154,b0
59.93331,10.74946,155,b1
59.93328480465486,10.749452801318387,156,b2
59.933265195345136,10.749447198658467,157,b0
59.933240000000005,10.74944,158,b1
59.933214801833955,10.749432440530052,159,b2
59.93316519816605,10.74941755942968,160,b0
59.93314,10.74941,161,b1
59.93311480183362,10.749402440528266,162,b2
59.933065198166375,10.749387559424775,163,b0
59.93304,10.749379999993316,164,b1
59.933014800270925,10.74937160007618,165,b2
59.933005199729074,10.749368399896632,166,b0
59.93298,10.749359999999998,167,b1
59.93295542686713,10.749340887412032,168,b2
59.93273457313287,10.749169112285383,169,b0
59.93271,10.74915,170,b1
59.932690701119974,10.749111402203251,171,b2
59.932679298880025,10.74908859772336,172,b0
59.93266,10.74905,173,b1
59.932637793364734,10.749019027240553,174,b2
59.93230220663526,10.748550972065251,175,b0
59.93228,10.748520000000001,176,b1
59.93225844735043,10.74848695247149,177,b2
59.93215155264957,10.748323047263504,178,b0
59.93213000000001,10.748290000000004,179,b1
59.93210838370122,10.748257142991546,180,b2
59.93190161629879,10.747942856539845,181,b0
59.93188,10.747910000000001,182,b1
59.93185776656744,10.747879120079942,183,b2
59.931722233432566,10.747690879614831,184,b0
59.9317,10.747659999999998,185,b1
59.9316784020811,10.747627088691889,186,b2
59.9315115979189,10.74737291092094,187,b0
59.93149,10.74734,188,b1
59.93146800224227,10.74730833592887,189,b2
59.93085199775773,10.746421662807196,190,b0
59.93083,10.746389999999998,191,b1
59.930808448035606,10.746356953367378,192,b2
59.93055155196439,10.745963046058192,193,b0
59.93053,10.745929999999998,194,b1
59.930514313855426,10.745885555863206,195,b2
59.93048568614457,10.745804444015775,196,b0
59.93047,10.745759999999999,197,b1
59.93045957135036,10.74571083627667,198,b2
59.930410428649644,10.745479163544724,199,b0
59.9304,10.74543,200,b1
59.93038797629232,10.745381905069411,201,b2
59.93033202370768,10.745158094730803,202,b0
59.93032000000001,10.745110000000004,203,b1
59.930307216184104,10.745062517070462,204,b2
59.930192783815905,10.744637482560032,205,b0
59.93018,10.744590000000002,206,b1
59.93016846405316,10.74454154889241,207,b2
59.93009153594683,10.744218450845837,208,b0
59.93008,10.74417,209,b1
59.93006749278415,10.744122287108642,210,b2
59.92995750721585,10.74370271253018,211,b0
59.929945000000004,10.743654999996197,212,b1
59.92995797225861,10.743616083247144,213,b2
59.92996702774139,10.743588916799798,214,b0
59.92998,10.743550000000003,215,b1
59.92999978749165,10.743525265649856,216,b2
59.93000021250835,10.743524734378976,217,b0
59.93002,10.7435,218,b1
59.93004148249612,10.743480665851257,219,b2
59.930198517503875,10.743339334344283,220,b0
59.93022,10.743320000000002,221,b1
59.930241602228676,10.743301098123876,222,b2
59.93035839777132,10.74319890202406,223,b0
59.93038,10.743179999999999,224,b1
59.930401358006414,10.74316022420768,225,b2
59.930628641993586,10.7429497760714,226,b0
59.93065,10.74293,227,b1
59.93067165657796,10.74291129669656,228,b2
59.930848343422035,10.742758703513033,229,b0
59.93087,10.74274,230,b1
59.93089143905719,10.742720509996932,231,b2
59.9309585609428,10.74265949010092,232,b0
59.93097999999999,10.742639999999996,233,b1
59.93100134540309,10.742620179335303,234,b2
59.9310986545969,10.742529820798199,235,b0
59.93112,10.742509999999998,236,b1
59.93114286885265,10.742496278698615,237,b2
59.93114713114735,10.742493721321797,238,b0
59.93117,10.74248,239,b1
59.93119195815395,10.742462433490687,240,b2
59.93119804184606,10.742457566537002,241,b0
59.93122,10.74244,242,b1
59.93124160245636,10.742421097881897,243,b2
59.93127839754364,10.742388902180524,244,b0
59.9313,10.742370000000001,245,b1
59.93132160247527,10.74235109786535,246,b2
59.931358397524725,10.742318902197075,247,b0
59.93138,10.742300000000002,248,b1
59.93140132256588,10.742280099011218,249,b2
59.93150867743412,10.742179901134202,250,b0
59.93153,10.74216,251,b1
59.93155160254037,10.742141097851151,252,b2
59.93166839745964,10.74203890229679,253,b0
59.93169,10.74202,254,b1
59.931711800882645,10.742001832678804,255,b2
59.93184819911736,10.7418881674832,256,b0
59.93187,10.741869999999999,257,b1
59.93189168779571,10.74185141052292,258,b2
59.93198831220429,10.741768589601296,259,b0
59.93201,10.74175,260,b1
59.93203349585234,10.741739426915922,261,b2
59.93218650414766,10.741670573183027,262,b0
59.93221,10.741659999999998,263,b1
59.93223451209375,10.741679609658906,264,b2
59.93223548790625,10.741680390308906,265,b0
59.93226,10.7417,266,b1
59.93227127278343,10.741658666483739,267,b2
59.93227872721657,10.741631333562244,268,b0
59.932289999999995,10.74159,269,b1
59.932289999999995,10.741539702916574,270,b2
59.932289999999995,10.741350297083425,271,b0
